number,school,address,email
223,숭실대학교 경영대학원,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교)"
224,숭실대학교 교육대학원,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교)"
225,숭실대학교 기독교학대학원,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교)"
226,숭실대학교 사회복지대학원,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교)"
227,숭실대학교 정보과학대학원,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교)"
228,숭실대학교 중소기업대학원,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교)"
229,신라대학교,"부산광역시 사상구 백양대로700번길 140 (괘법동, 신라대학교)"
230,신라대학교 대학원,"부산광역시 사상구 백양대로700번길 140 (괘법동, 신라대학교)"
231,아세아연합신학대학교,"경기도 양평군 옥천면 경강로 1276 (아신리, 아세아연합신학대학교)"
232,아세아연합신학대학교대학원,"경기도 양평군 옥천면 경강로 1276 (아신리, 아세아연합신학대학교)"
233,아주대학교,"경기도 수원시 영통구 월드컵로 206 (원천동, 아주대학교)"
234,아주대학교대학원,"경기도 수원시 영통구 월드컵로 206 (원천동, 아주대학교)"
235,안양대학교,"경기도 안양시 만안구 삼덕로37번길 22 (안양동, 안양대학교)"
236,안양대학교,"인천광역시 강화군 불은면 중앙로 602-14 (삼성리, 안양대학교강화캠퍼스)"
237,안양대학교대학원,"경기도 안양시 만안구 삼덕로37번길 22 (안양동, 안양대학교)"
238,연세대학교,"서울특별시 서대문구 연세로 50 (신촌동, 연세대학교)"
239,연세대학교 미래캠퍼스,"강원도 원주시 흥업면 연세대길 1 (매지리, 연세대학교)"
240,연세대학교 대학원,"서울특별시 서대문구 연세로 50 (신촌동, 연세대학교)"
241,연세대학교 일반대학원,"강원도 원주시 흥업면 연세대길 1 (매지리, 연세대학교)"
242,영남대학교,"경상북도 경산시 대학로 280 (대동, 영남대학교)"
243,영남대학교 일반대학원,"경상북도 경산시 대학로 280 (대동, 영남대학교)"
244,영남신학대학교,"경상북도 경산시 진량읍 봉회1길 26 (봉회리, 영남신학대학교)"
245,영남신학대학교대학원,"경상북도 경산시 진량읍 봉회1길 26 (봉회리, 영남신학대학교)"
246,유원대학교,"충청북도 영동군 영동읍 대학로 310 (설계리, U1대학교)"
247,유원대학교산업정보대학원,"충청북도 영동군 영동읍 대학로 310 (설계리, U1대학교)"
248,영산선학대학교,전라남도 영광군 백수읍 성지로 1357 (길용리)
249,용인대학교,"경기도 용인시 처인구 용인대학로 134 (삼가동, 용인대학교)"
250,용인대학교일반대학원,"경기도 용인시 처인구 용인대학로 134 (삼가동, 용인대학교)"
251,우석대학교,"전라북도 완주군 삼례읍 삼례로 443 (후정리, 우석대학교)"
252,우석대학교 일반대학원,"전라북도 완주군 삼례읍 삼례로 443 (후정리, 우석대학교)"
253,울산대학교,"울산광역시 남구 대학로 93 (무거동, 울산대학교)"
254,울산대학교 대학원,"울산광역시 남구 대학로 93 (무거동, 울산대학교)"
255,원광대학교,"전라북도 익산시 익산대로 460 (신동, 원광대학교)"
256,원광대학교 대학원,"전라북도 익산시 익산대로 460 (신동, 원광대학교)"
257,위덕대학교,"경상북도 경주시 강동면 동해대로 261 (유금리, 위덕대학교)"
258,위덕대학교 대학원,"경상북도 경주시 강동면 동해대로 261 (유금리, 위덕대학교)"
